date,close,volume
2008/5/19,123950,81900
2008/5/20,123300,77600
2008/5/21,121600,72800
2008/5/22,123100,65900
2008/5/23,123970,83400
2008/5/27,127910,127500
2008/5/28,129500,95700
2008/5/29,132200,76800
2008/5/30,134650,95000
2008/6/2,132350,67100
2008/6/3,134000,44800
2008/6/4,132990,50900
2008/6/5,130500,79900
2008/6/6,129400,45600
2008/6/9,127100,64600
2008/6/10,126525,45300
2008/6/11,126300,39400
2008/6/12,126690,53500
2008/6/13,127000,37700
2008/6/16,125800,38800
2008/6/17,125870,46200
2008/6/18,125400,79700
2008/6/19,124990,33400
2008/6/20,124000,56900
2008/6/23,122490,85800
2008/6/24,122700,95200
2008/6/25,122000,53800
2008/6/26,120710,64300
2008/6/27,120600,50800
2008/6/30,120750,67800
2008/7/1,120100,56600
2008/7/2,118665,59800
2008/7/3,116700,130000
2008/7/7,118440,82500
2008/7/8,118750,73700
2008/7/9,119400,58500
2008/7/10,119250,43000
2008/7/11,117500,55700
2008/7/14,116000,68700
2008/7/15,114810,150500
2008/7/16,114950,83600
2008/7/17,116200,78400
2008/7/18,117290,67000
2008/7/21,117900,44400
2008/7/22,118400,56300
2008/7/23,118450,174400
2008/7/24,115250,65200
2008/7/25,113000,102400
2008/7/28,111900,100100
2008/7/29,111750,78300
2008/7/30,113900,116200
2008/7/31,114450,57800
2008/8/1,116500,126100
2008/8/4,114500,61800
2008/8/5,115460,57700
2008/8/6,116100,66300
2008/8/7,115475,90400
2008/8/8,115750,78500
2008/8/11,117800,136600
2008/8/12,116800,108300
2008/8/13,114440,90900
2008/8/14,116200,61200
2008/8/15,120100,94300
2008/8/18,117100,64200
2008/8/19,116750,46200
2008/8/20,116690,53800
2008/8/21,115000,41600
2008/8/22,116100,62900
2008/8/25,115350,54200
2008/8/26,115000,43800
2008/8/27,115300,49600
2008/8/28,117740,50400
2008/8/29,116600,55300
2008/9/2,119999,79800
2008/9/3,120300,55900
2008/9/4,119350,74700
2008/9/5,118100,68200
2008/9/8,119650,56400
2008/9/9,118000,66100
2008/9/10,117000,59600
2008/9/11,117500,52000
2008/9/12,119500,86500
2008/9/15,119900,223200
2008/9/16,125000,256200
2008/9/17,124800,180000
2008/9/18,128010,276500
2008/9/19,147000,422800
2008/9/22,131000,294500
2008/9/23,128800,102100
2008/9/24,133300,176900
2008/9/25,133100,148200
2008/9/26,135000,124000
2008/9/29,133800,145400
2008/9/30,130600,156300
