date,close,volume
2019/9/10,311950.05,265
2019/9/11,316230,423
2019/9/12,317182,485
2019/9/13,320850,397
2019/9/16,315807,142
2019/9/17,315744,150
2019/9/18,317030,192
2019/9/19,315000,120
2019/9/20,313700,394
2019/9/23,313225,195
2019/9/24,310356,247
2019/9/25,311906,142
2019/9/26,310250.01,332
2019/9/27,311450,141
2019/9/30,311832,173
2019/10/1,310005,162
2019/10/2,305090,711
2019/10/3,307250,567
2019/10/4,312524,156
2019/10/7,310720,143
2019/10/8,306538.99,368
2019/10/9,310000.01,229
2019/10/10,309974,180
2019/10/11,312500,444
2019/10/14,311640,106
2019/10/15,314250,343
2019/10/16,313850,208
2019/10/17,313200,151
2019/10/18,313270,182
2019/10/21,317040,254
2019/10/22,316180,117
2019/10/23,316560,270
2019/10/24,315475,429
2019/10/25,317495,353
2019/10/28,319055.1,440
2019/10/29,319423,466
2019/10/30,320000,399
2019/10/31,318939,541
2019/11/1,323400,531
2019/11/4,326800,325
2019/11/5,331500,783
2019/11/6,332855,379
2019/11/7,333860,481
2019/11/8,331526,197
2019/11/11,330986,119
2019/11/12,331106,135
2019/11/13,329402,183
2019/11/14,329302,166
2019/11/15,329405,318
2019/11/18,329225,248
2019/11/19,328601,251
2019/11/20,326712,291
2019/11/21,325102,217
2019/11/22,326962,144
2019/11/25,328301,188
2019/11/26,328402,186
2019/11/27,330684.81,288
2019/11/29,330495.11,345
2019/12/2,330609,285
2019/12/3,327539,200
2019/12/4,327501.01,173
2019/12/5,329799,153
2019/12/6,333640,363
2019/12/9,331904,189
2019/12/10,332120,462
2019/12/11,333600,277
2019/12/12,338800,628
2019/12/13,338080.1,209
2019/12/16,340380,324
2019/12/17,339000,274
2019/12/18,337500,247
2019/12/19,337491,459
2019/12/20,339850,305
2019/12/23,338045,215
2019/12/24,338389.9,77
2019/12/26,339650,142
2019/12/27,338920.02,164
2019/12/30,338750,333
2019/12/31,339590,142
2020/1/2,342261,408
2020/1/3,339155,222
2020/1/6,340210,275
2020/1/7,338901,279
2020/1/8,339188,192
2020/1/9,343263,278
2020/1/10,340185,144
2020/1/13,342855,205
2020/1/14,340706,162
2020/1/15,342550,125
2020/1/16,344505,204
2020/1/17,344970,229
2020/1/21,342650,277
2020/1/22,344700,244
2020/1/23,344414,200
2020/1/24,340199.05,294
2020/1/27,333621,515
2020/1/28,336000.01,232
2020/1/29,336476.01,143
2020/1/30,342000,227
2020/1/31,335996.01,294
2020/2/3,334860.01,194
2020/2/4,337421,220
2020/2/5,342615,341
2020/2/6,344081,185
2020/2/7,340900,180
2020/2/10,340361,180
2020/2/11,340780,151
2020/2/12,341000,210
2020/2/13,338500,255
2020/2/14,340223.94,121
2020/2/18,339745,198
2020/2/19,344000,258
2020/2/20,342122,287
2020/2/21,343449,204
2020/2/24,333190,739
2020/2/25,328000,551
2020/2/26,324301,393
2020/2/27,312619,549
2020/2/28,309096,709
